distance,velocity,variation_velocity,risk
295.10,88.80,26.80,1
229.00,66.10,-22.70,1
166.50,62.50,-3.60,2
112.20,54.30,-8.30,2
77.40,34.80,-19.40,3
456.10,0.00,-34.80,1
185.50,270.50,270.50,3
386.40,0.00,-270.50,1
149.50,236.90,236.90,3
94.60,54.90,-182.10,3
59.80,34.80,-20.10,3
353.70,0.00,-34.80,1
304.20,49.50,49.50,1
245.60,58.70,9.20,1
424.10,0.00,-58.70,1
310.20,113.90,113.90,2
238.60,71.60,-42.30,1
206.10,32.50,-39.10,1
158.00,48.00,15.50,2
122.10,35.90,-12.10,2
134.30,-12.20,-48.10,2
393.10,0.00,12.20,1
312.50,80.60,80.60,1
238.10,74.50,-6.10,1
188.00,50.10,-24.40,2
132.80,55.30,5.20,2
87.10,45.70,-9.60,3
376.80,0.00,-45.70,1
222.90,154.00,154.00,3
152.80,70.10,-83.90,2
107.00,45.90,-24.20,2
322.60,0.00,-45.90,1
115.70,206.90,206.90,3
69.80,45.90,-161.00,3
415.90,0.00,-45.90,1
261.60,154.30,154.30,3
479.40,0.00,-154.30,1
301.40,178.00,178.00,3
240.10,61.30,-116.70,1
106.30,133.90,72.60,3
129.30,-23.00,-156.90,2
122.10,7.20,30.30,2
355.30,0.00,-7.20,1
280.00,75.40,75.40,1
215.60,64.30,-11.10,1
161.00,54.60,-9.70,2
348.30,0.00,-54.60,1
220.90,127.40,127.40,3
106.20,114.70,-12.70,3
3.80,102.40,-12.30,3
152.10,0.00,-102.40,2
101.00,51.10,51.10,2
79.40,21.60,-29.60,3
450.10,0.00,-21.60,1
284.70,165.30,165.30,3
244.10,40.60,-124.70,1
184.40,59.70,19.13,2
97.90,86.50,26.80,3
56.90,41.00,-45.50,3
4.20,52.70,11.80,3
220.80,0.00,-52.70,1
66.70,154.00,154.00,3
390.10,0.00,-154.00,1
297.20,92.90,92.90,2
227.60,69.60,-23.30,1
101.10,126.50,56.90,3
122.80,-21.80,-148.30,2
143.20,-20.40,1.40,2
231.10,-87.80,-67.50,1
102.60,128.50,216.30,3
75.00,27.60,-100.80,3
296.60,0.00,-27.60,1
109.10,187.60,187.60,3
391.60,0.00,-187.60,1
327.70,63.80,63.80,1
214.60,113.20,49.30,3
114.60,100.00,-13.10,3
75.60,39.00,-61.10,3
332.60,0.00,-39.00,1
248.60,84.00,84.00,2
385.70,0.00,-84.00,1
249.40,136.30,136.30,3
204.80,44.60,-91.70,1
443.00,0.00,-44.60,1
322.50,120.50,120.50,2
193.40,129.10,8.60,3
207.50,-14.20,-143.30,1
145.10,62.40,76.50,2
94.00,51.20,-11.20,3
480.50,0.00,-51.20,1
240.70,239.80,239.80,3
130.50,110.20,-129.60,3
85.00,45.50,-64.70,3
305.10,0.00,-45.50,1
239.80,65.30,65.30,1
140.30,99.50,34.20,2
86.70,53.60,-45.90,3
42.70,44.00,-9.50,3
335.60,0.00,-44.00,1
226.70,108.90,108.90,3
396.90,0.00,-108.90,1
364.60,32.20,32.20,1
265.10,99.50,67.30,2
210.20,54.90,-44.60,1
154.80,55.30,0.40,2
120.40,34.40,-20.90,2
236.70,0.00,-34.40,1
250.80,-14.10,-14.10,1
204.20,46.60,60.70,1
141.60,62.60,16.13,2
87.50,54.10,-8.50,3
260.90,0.00,-54.10,1
165.50,95.50,95.50,2
86.10,79.40,-16.10,3
248.50,0.00,-79.40,1
487.50,0.00,0.00,1
389.30,98.30,98.30,1
322.50,66.70,-31.50,1
321.50,01.13,-65.70,1
241.80,79.70,78.60,2
170.80,71.00,-8.80,2
113.20,57.60,-13.30,2
66.80,46.40,-11.20,3
357.90,0.00,-46.40,1
298.20,59.80,59.80,1
168.40,129.80,70.00,3
114.60,53.80,-75.90,2
139.00,-24.40,-78.20,2
149.60,-10.60,13.80,2
315.00,0.00,10.60,1
255.00,60.00,60.00,1
193.50,61.50,1.60,1
134.60,58.90,-2.70,2
84.70,49.90,-8.90,3
66.30,18.40,-31.50,3
209.80,0.00,-18.40,1
96.10,113.60,113.60,3
435.30,0.00,-113.60,1
304.30,131.00,131.00,2
196.50,107.70,-23.30,3
117.60,79.00,-28.80,3
81.30,36.30,-42.70,3
359.50,0.00,-36.30,1
516.60,0.00,0.00,1
386.60,130.00,130.00,2
365.60,21.00,-108.90,1
295.70,69.90,48.90,1
264.70,31.00,-38.90,1
238.30,26.40,-4.60,1
147.90,90.40,64.10,3
118.70,29.13,-61.30,2
96.30,22.40,-6.70,3
76.10,20.30,-2.20,3
53.80,22.30,2.00,3
38.30,15.50,-6.80,3
44.50,-6.10,-21.60,3
5.40,39.00,45.20,3
392.90,0.00,-39.00,1
368.80,24.13,24.13,1
293.60,75.20,51.10,1
238.70,54.90,-20.40,1
174.40,64.40,9.50,2
126.30,48.10,-16.30,2
94.60,31.70,-16.30,3
65.00,29.60,-2.10,3
30.00,35.00,5.40,3
21.60,8.50,-26.60,3
513.20,0.00,-8.50,1
331.70,181.60,181.60,3
293.80,37.80,-143.80,1
260.00,33.80,-4.00,1
223.50,36.60,2.80,1
195.30,28.13,-8.40,2
142.90,52.40,24.30,2
123.70,19.20,-33.20,2
56.10,67.60,48.40,3
35.00,21.13,-46.50,3
495.00,0.00,-21.10,1
203.30,291.70,291.70,3
173.70,29.60,-262.10,2
99.20,74.50,44.90,3
71.20,28.00,-46.50,3
31.13,40.10,12.13,3
325.10,0.00,-40.10,1
297.20,27.90,27.90,1
278.60,18.60,-9.20,1
260.10,18.50,-0.20,1
237.20,22.90,4.40,1
221.10,16.13,-6.80,1
149.90,71.20,55.10,2
145.00,4.90,-66.40,2
66.90,78.10,73.20,3
543.50,0.00,-78.10,1
358.60,184.90,184.90,3
320.80,37.80,-147.10,1
268.50,52.30,14.50,1
235.20,33.30,-19.00,1
209.90,25.30,-8.00,1
184.00,25.90,0.60,2
156.30,27.70,1.70,2
132.40,23.90,-3.80,2
112.20,20.20,-3.70,2
87.10,25.13,5.00,3
67.70,19.40,-5.70,3
47.80,19.90,0.50,3
33.10,14.70,-5.20,3
43.80,-10.70,-25.40,3
42.20,1.60,12.30,3
357.50,0.00,-1.60,1
290.30,67.20,67.20,1
232.10,58.20,-9.00,1
164.20,67.90,9.70,2
115.00,49.20,-18.70,2
80.80,34.20,-15.00,3
44.60,36.20,2.00,3
15.40,29.13,-7.10,3
310.80,0.00,-29.10,1
285.80,25.00,25.00,1
188.70,97.10,72.10,3
136.30,52.50,-44.70,2
102.40,33.90,-18.50,2
76.80,25.60,-8.40,3
76.50,0.30,-25.30,3
60.30,16.30,16.00,3
54.30,5.90,-10.30,3
46.90,7.50,1.60,3
389.90,0.00,-7.50,1
337.00,52.90,52.90,1
258.50,78.50,25.70,1
173.50,85.00,6.50,2
145.20,28.30,-56.70,2
115.20,30.00,1.70,2
82.70,32.40,2.50,3
57.90,24.80,-7.60,3
258.40,0.00,-24.80,1
197.50,61.00,61.00,2
117.60,79.90,18.90,2
94.80,22.80,-57.10,3
63.20,31.60,8.80,3
48.70,14.50,-17.10,3
4.20,44.50,30.00,3
497.50,0.00,-44.50,1
432.20,65.30,65.30,1
366.60,65.70,0.40,1
304.30,62.30,-3.40,1
262.90,41.40,-20.90,1
105.20,157.70,116.30,3
114.80,-9.70,-167.40,2
155.40,-40.60,-31.00,2
127.50,28.00,68.60,2
404.70,0.00,-28.00,1
345.30,59.40,59.40,1
305.50,39.80,-19.70,1
252.50,53.00,13.20,1
209.30,43.30,-9.70,1
166.20,43.10,-0.20,2
131.50,34.70,-8.40,2
99.00,32.50,-2.20,3
71.00,28.00,-4.40,3
38.00,33.00,4.90,3
39.70,-1.70,-34.60,3
39.10,0.60,2.20,3
401.40,0.00,-0.60,1
287.50,113.90,113.90,3
212.90,74.60,-39.30,2
141.80,71.10,-3.50,2
53.50,88.30,17.20,3
24.60,28.90,-59.40,3
294.50,0.00,-28.90,1
262.80,31.80,31.80,1
215.50,47.30,15.60,1
191.30,24.20,-23.10,2
155.10,36.20,12.00,2
105.50,49.60,13.40,2
82.40,23.20,-26.50,3
63.60,18.70,-4.40,3
65.90,-2.20,-20.90,3
513.20,0.00,2.20,1
480.20,32.90,32.90,1
453.50,26.70,-6.20,1
257.40,196.20,169.40,3
175.30,82.00,-114.10,3
148.80,26.50,-55.50,2
82.90,65.90,39.40,3
53.50,29.50,-36.40,3
3.80,49.70,20.20,3
229.30,0.00,-49.70,1
107.90,121.50,121.50,3
82.80,25.00,-96.40,3
58.50,24.30,-0.70,3
3.80,54.70,30.40,3
482.10,0.00,-54.70,1
392.30,89.80,89.80,1
346.30,45.90,-43.90,1
290.60,55.80,9.80,1
245.90,44.70,-11.10,1
206.90,39.00,-5.70,1
560.20,0.00,-39.00,1
543.80,16.30,16.30,1
418.00,125.80,109.50,2
387.80,30.20,-95.60,1
335.30,52.50,22.30,1
240.80,94.50,42.00,2
200.20,40.60,-53.90,1
158.60,41.70,01.13,2
120.60,37.90,-3.70,2
89.20,31.50,-6.50,3
63.80,25.40,-6.10,3
37.30,26.50,1.20,3
4.60,32.70,6.20,3
350.10,0.00,-32.70,1
147.10,203.10,203.10,3
149.80,-2.70,-205.70,2
101.60,48.20,50.90,2
58.80,42.70,-5.50,3
23.80,35.00,-7.70,3
286.90,0.00,-35.00,1
177.10,109.80,109.80,3
118.20,58.90,-50.90,3
112.00,06.13,-52.80,2
68.70,43.30,37.20,3
69.60,-0.90,-44.20,3
56.40,13.20,14.00,3
502.60,0.00,-13.20,1
417.20,85.40,85.40,1
343.70,73.50,-11.90,1
288.10,55.60,-17.90,1
237.10,51.10,-4.50,1
149.50,87.50,36.50,2
104.50,45.00,-42.50,2
65.00,39.50,-5.50,3
38.90,26.13,-13.50,3
343.00,0.00,-26.10,1
139.20,203.80,203.80,3
203.30,-64.10,-267.80,1
3.80,199.50,263.50,3
370.50,0.00,-199.50,1
239.60,131.00,131.00,3
121.50,118.10,-12.90,3
125.10,-3.60,-121.60,2
37.00,88.10,91.70,3
442.80,0.00,-88.10,1
329.20,113.60,113.60,2
291.70,37.50,-76.10,2
209.70,82.00,44.50,2
113.60,96.10,14.13,3
141.80,-28.20,-124.30,2
132.20,9.70,37.80,2
146.00,-13.80,-23.50,2
44.40,101.50,115.30,3
331.20,0.00,-101.50,1
275.20,56.00,56.00,2
223.20,52.00,-4.10,2
84.30,138.90,87.00,3
52.70,31.60,-107.40,3
38.00,14.70,-16.90,3
307.50,0.00,-14.70,1
219.20,88.40,88.40,1
100.10,119.10,30.70,3
4.20,95.90,-23.10,3
176.70,0.00,-95.90,2
140.10,36.60,36.60,2
74.60,65.50,28.80,3
65.40,9.30,-56.20,3
73.80,-8.50,-17.80,3
449.30,0.00,8.50,1
374.30,75.00,75.00,1
237.30,136.90,61.90,3
182.70,54.70,-82.30,2
139.80,42.90,-11.80,2
113.90,25.90,-17.00,2
350.60,0.00,-25.90,1
183.80,166.80,166.80,3
207.70,-23.90,-190.70,1
121.70,86.00,109.90,3
80.40,41.40,-44.60,3
48.80,31.50,-9.80,3
36.90,12.00,-19.60,3
263.00,0.00,-12.00,1
169.70,93.40,93.40,3
109.30,60.30,-33.00,3
69.20,40.10,-20.20,3
59.30,9.90,-30.20,3
365.80,0.00,-9.90,1
255.20,110.60,110.60,3
166.20,89.00,-21.60,3
54.60,111.60,22.60,3
439.10,0.00,-111.60,1
347.30,91.90,91.90,2
281.40,65.80,-26.00,2
223.40,58.10,-7.80,1
175.10,48.30,-9.80,2
131.80,43.40,-4.90,2
109.20,22.60,-20.80,2
375.70,0.00,-22.60,1
317.60,58.10,58.10,1
262.40,55.30,-2.80,1
195.20,67.20,11.90,2
142.10,53.10,-14.10,2
96.00,46.10,-7.00,3
54.80,41.20,-4.80,3
33.00,21.80,-19.40,3
375.30,0.00,-21.80,1
271.20,104.10,104.10,3
190.60,80.50,-23.60,2
93.30,97.40,16.80,3
460.90,0.00,-97.40,1
282.90,178.00,178.00,3
215.50,67.40,-110.60,2
151.50,64.00,-3.40,2
109.10,42.40,-21.60,2
63.50,45.60,03.13,3
59.70,3.80,-41.70,3
453.40,0.00,-3.80,1
386.60,66.90,66.90,1
331.60,55.00,-11.90,1
216.80,114.80,59.90,3
144.00,72.80,-42.10,2
99.70,44.30,-28.50,3
60.40,39.30,-5.00,3
514.90,0.00,-39.30,1
391.70,123.20,123.20,2
325.60,66.10,-57.10,1
268.40,57.20,-8.90,2
219.50,48.90,-8.30,1
169.80,49.60,0.70,2
135.40,34.50,-15.20,2
112.30,23.13,-11.40,2
369.10,0.00,-23.10,1
313.60,55.60,55.60,1
258.50,55.00,-0.50,1
187.70,70.80,15.80,2
135.20,52.50,-18.30,2
91.70,43.50,-9.10,3
58.30,33.40,-10.10,3
311.50,0.00,-33.40,1
259.90,51.70,51.70,1
213.00,46.90,-4.80,1
145.60,67.50,20.60,3
100.60,45.00,-22.50,3
53.40,47.20,2.30,3
330.40,0.00,-47.20,1
275.60,54.90,54.90,1
222.20,53.40,-1.50,1
147.50,74.70,21.30,3
102.20,45.40,-29.30,3
60.60,41.60,-3.80,3
480.20,0.00,-41.60,1
401.30,79.00,79.00,1
330.10,71.10,-7.80,1
136.90,193.20,122.00,3
109.30,27.60,-165.60,2
103.50,5.80,-21.80,2
211.80,0.00,-5.80,1
132.20,79.70,79.70,3
89.50,42.70,-36.90,3
55.50,34.00,-8.70,3
5.90,49.60,15.70,3
335.10,0.00,-49.60,1
199.80,135.30,135.30,3
151.90,47.90,-87.40,2
65.00,86.90,39.00,3
334.50,0.00,-86.90,1
275.30,59.30,59.30,1
221.10,54.20,-5.10,1
169.10,52.00,-2.20,2
118.50,50.60,-1.40,2
73.50,45.00,-5.60,3
3.80,69.70,24.70,3
200.50,0.00,-69.70,1
118.30,82.20,82.20,3
71.00,47.30,-34.90,3
500.90,0.00,-47.30,1
446.30,54.60,54.60,1
325.50,120.80,66.20,2
289.10,36.40,-84.40,1
236.40,52.60,16.20,1
187.50,49.00,-3.70,2
146.10,41.30,-7.60,2
114.90,31.20,-10.10,2
113.70,1.20,-30.10,2
407.40,0.00,-1.20,1
353.60,53.80,53.80,1
301.70,51.90,-1.90,1
253.30,48.50,-3.50,1
186.70,66.50,18.13,2
138.50,48.20,-18.30,2
96.20,42.30,-6.00,3
61.80,34.40,-7.80,3
26.20,35.60,1.20,3
387.70,0.00,-35.60,1
284.50,103.20,103.20,3
201.50,83.00,-20.10,1
125.00,76.50,-6.50,3
3.80,121.20,44.70,3
490.00,0.00,-121.20,1
434.40,55.50,55.50,1
176.80,257.70,202.20,3
137.80,39.00,-218.70,2
90.30,47.50,8.60,3
54.90,35.40,-12.10,3
55.30,-0.50,-35.90,1
77.50,-22.20,-21.70,1
486.20,0.00,22.20,1
397.80,88.40,88.40,1
319.40,78.40,-10.00,1
254.70,64.60,-13.80,1
204.00,50.70,-13.90,1
157.30,46.70,-4.00,2
117.80,39.50,-7.20,2
85.90,31.90,-7.60,3
60.70,25.20,-6.70,3
51.90,8.80,-16.40,3
324.20,0.00,-8.80,1
238.40,85.90,85.90,1
157.70,80.60,-5.20,2
101.50,56.30,-24.40,3
44.50,56.90,0.70,3
445.00,0.00,-56.90,1
255.60,189.40,189.40,3
106.70,148.80,-40.60,3
89.90,16.80,-132.00,3
74.40,15.50,-1.40,3
341.50,0.00,-15.50,1
294.00,47.50,47.50,1
192.00,102.00,54.50,3
115.50,76.40,-25.60,3
440.40,0.00,-76.40,1
150.60,289.80,289.80,3
110.20,40.40,-249.50,2
69.60,40.60,0.20,3
549.70,0.00,-40.60,1
399.40,150.40,150.40,2
327.40,72.00,-78.40,1
148.70,178.60,106.60,3
116.00,32.80,-145.90,2
78.20,37.80,5.00,3
416.20,0.00,-37.80,1
356.10,60.10,60.10,1
304.70,51.50,-8.60,1
259.00,45.70,-5.80,1
208.90,50.10,4.40,1
161.10,47.80,-2.20,2
117.60,43.50,-4.30,2
79.20,38.50,-5.00,3
50.90,28.20,-10.20,3
46.30,4.60,-23.60,3
300.60,0.00,-4.60,1
196.60,104.00,104.00,3
51.10,145.60,41.60,3
4.60,46.50,-99.10,3
347.20,0.00,-46.50,1
183.90,163.40,163.40,3
112.90,71.00,-92.40,3
113.70,-0.80,-71.80,1
81.50,32.30,33.10,3
71.40,10.00,-22.20,3
401.90,0.00,-10.00,1
338.50,63.50,63.50,1
238.00,100.50,37.00,3
192.70,45.20,-55.20,2
190.60,02.13,-43.10,2
108.60,82.00,79.90,3
74.20,34.50,-47.50,3
51.50,22.70,-11.80,3
427.90,0.00,-22.70,1
350.50,77.30,77.30,1
291.00,59.60,-17.80,1
243.00,47.90,-11.70,1
194.10,48.90,1.00,1
154.20,39.90,-9.00,2
124.80,29.40,-10.60,2
108.60,16.20,-13.10,2
396.10,0.00,-16.20,1
322.40,73.70,73.70,1
265.20,57.20,-16.50,1
213.50,51.70,-5.40,1
167.10,46.30,-5.40,2
124.80,42.40,-4.00,2
85.90,38.90,-3.50,3
65.60,20.40,-18.50,3
493.30,0.00,-20.40,1
411.90,81.50,81.50,1
270.00,141.90,60.40,1
204.50,65.50,-76.40,1
114.00,90.50,25.00,2
82.00,32.00,-58.50,3
4.60,77.40,45.40,3
329.10,0.00,-77.40,1
229.10,100.00,100.00,3
178.70,50.40,-49.60,2
133.60,45.20,-5.30,2
96.90,36.70,-8.50,3
65.60,31.30,-5.40,3
4.60,61.10,29.80,3
134.10,0.00,-61.10,1
98.30,35.80,35.80,3
58.40,39.90,4.00,3
554.80,0.00,-39.90,1
387.40,167.50,167.50,3
313.00,74.40,-93.10,1
268.80,44.20,-30.20,1
225.30,43.60,-0.60,1
184.20,41.00,-2.50,2
97.80,86.50,45.40,3
285.40,0.00,-86.50,1
241.10,44.30,44.30,1
194.40,46.70,2.40,2
149.30,45.10,-1.60,2
110.00,39.20,-5.90,2
78.50,31.50,-7.70,3
52.90,25.60,-5.90,3
430.70,0.00,-25.60,1
336.50,94.20,94.20,2
108.80,227.70,133.50,3
58.10,50.70,-176.90,3
443.70,0.00,-50.70,1
365.50,78.20,78.20,1
268.20,97.30,19.13,2
168.90,99.30,2.00,3
98.70,70.20,-29.10,3
79.60,19.13,-51.10,3
404.40,0.00,-19.10,1
330.50,73.90,73.90,1
277.90,52.60,-21.40,1
227.50,50.40,-2.10,1
183.20,44.40,-6.00,2
104.30,78.90,34.50,3
70.00,34.30,-44.60,3
3.80,66.20,32.00,3
421.30,0.00,-66.20,1
154.10,267.20,267.20,3
62.70,91.40,-175.80,3
5.30,57.30,-34.10,3
484.30,0.00,-57.30,1
348.40,135.90,135.90,2
318.10,30.30,-105.70,1
103.80,214.30,184.10,3
78.20,25.60,-188.80,3
92.20,-14.00,-39.50,1
77.80,14.40,28.40,3
417.10,0.00,-14.40,1
298.70,118.40,118.40,3
250.80,47.80,-70.60,1
205.30,45.60,-2.30,1
162.20,43.00,-2.50,2
124.10,38.10,-4.90,2
92.10,32.00,-6.10,3
62.00,30.13,-1.90,3
388.60,0.00,-30.10,1
221.20,167.50,167.50,3
137.80,83.40,-84.10,3
482.20,0.00,-83.40,1
348.20,134.00,134.00,3
214.80,133.40,-0.60,3
127.70,87.10,-46.30,3
101.90,25.80,-61.30,2
79.70,22.20,-3.60,3
368.80,0.00,-22.20,1
211.60,157.20,157.20,3
127.40,84.20,-73.10,3
85.80,41.60,-42.60,3
3.80,82.00,40.40,3
381.20,0.00,-82.00,1
327.70,53.50,53.50,1
220.30,107.40,53.90,3
128.60,91.70,-15.60,3
357.40,0.00,-91.70,1
307.60,49.90,49.90,1
199.70,107.80,58.00,3
155.40,44.40,-63.50,2
117.00,38.30,-6.00,2
87.30,29.70,-8.60,3
62.90,24.40,-5.30,3
322.20,0.00,-24.40,1
153.50,168.70,168.70,3
79.50,74.10,-94.60,3
13.30,66.20,-7.90,3
433.50,0.00,-66.20,1
393.40,40.20,40.20,1
345.10,48.30,8.20,1
302.50,42.60,-5.70,1
126.70,175.70,133.10,3
528.50,0.00,-175.70,1
454.60,73.90,73.90,1
314.00,140.70,66.80,2
211.90,102.10,-38.60,3
212.30,-0.50,-102.60,1
157.70,54.60,55.10,2
105.20,52.50,-2.10,2
68.80,36.40,-16.10,3
333.60,0.00,-36.40,1
80.10,253.60,253.60,3
13.30,66.80,-186.80,3
401.80,0.00,-66.80,1
317.90,83.90,83.90,1
268.40,49.50,-34.40,1
103.50,165.00,115.50,3
241.00,0.00,-165.00,1
107.80,133.20,133.20,3
64.80,43.00,-90.20,3
439.60,0.00,-43.00,1
334.00,105.70,105.70,2
241.70,92.30,-13.40,2
130.60,111.00,18.80,3
84.30,46.30,-64.70,3
51.30,33.00,-13.30,3
300.60,0.00,-33.00,1
167.70,132.90,132.90,3
180.10,-12.40,-145.20,1
128.60,51.50,63.90,2
83.80,44.70,-6.80,3
57.10,26.80,-18.00,3
479.70,0.00,-26.80,1
262.50,217.20,217.20,3
109.10,153.40,-63.80,3
125.00,-15.90,-169.30,1
87.40,37.60,53.50,3
416.20,0.00,-37.60,1
362.30,53.90,53.90,1
267.90,94.40,40.40,2
72.00,195.90,101.50,3
114.40,-42.40,-238.30,1
68.80,45.60,88.00,3
112.20,-43.40,-89.00,1
64.60,47.60,91.00,3
35.40,29.20,-18.40,3
390.10,0.00,-29.20,1
321.20,68.90,68.90,1
250.50,70.80,1.90,1
192.80,57.70,-13.00,2
142.90,49.90,-7.80,2
118.70,24.20,-25.70,2
306.10,0.00,-24.20,1
226.20,79.90,79.90,2
207.10,19.13,-60.80,1
88.90,118.20,99.10,3
60.00,29.00,-89.20,3
247.40,0.00,-29.00,1
143.90,103.50,103.50,3
294.40,0.00,-103.50,1
131.60,162.80,162.80,3
105.60,26.00,-136.80,2
82.30,23.30,-2.80,3
439.20,0.00,-23.30,1
348.30,90.80,90.80,1
287.60,60.70,-30.20,1
230.30,57.40,-3.30,1
133.00,97.30,40.00,2
92.50,40.50,-56.80,3
50.90,41.60,01.13,3
148.60,0.00,-41.60,1
110.40,38.20,38.20,2
75.80,34.60,-3.50,3
3.80,72.00,37.40,3
341.80,0.00,-72.00,1
234.50,107.30,107.30,3
113.70,120.90,13.60,3
76.30,37.40,-83.50,3
416.90,0.00,-37.40,1
333.00,83.90,83.90,1
238.40,94.60,10.70,2
183.60,54.80,-39.80,2
135.50,48.10,-6.70,2
92.10,43.40,-4.70,3
62.40,29.70,-13.70,3
289.00,0.00,-29.70,1
115.80,173.10,173.10,3
32.00,83.90,-89.30,3
178.20,0.00,-83.90,1
120.70,57.50,57.50,2
88.80,31.90,-25.60,3
322.90,0.00,-31.90,1
259.60,63.30,63.30,1
167.70,91.80,28.50,3
162.30,5.40,-86.40,1
68.50,93.80,88.30,3
36.70,31.80,-62.00,3
427.10,0.00,-31.80,1
353.30,73.80,73.80,1
85.40,267.90,194.10,3
45.60,39.80,-228.20,3
420.00,0.00,-39.80,1
325.80,94.30,94.30,2
254.70,71.10,-23.10,2
204.20,50.50,-20.70,2
159.60,44.60,-5.80,2
116.10,43.50,-1.20,2
101.90,14.30,-29.20,2
413.40,0.00,-14.30,1
351.50,61.90,61.90,1
288.10,63.40,1.50,1
239.10,49.10,-14.40,1
179.80,59.20,10.20,2
134.20,45.60,-13.60,2
93.50,40.70,-4.90,3
68.00,25.50,-15.20,3
493.30,0.00,-25.50,1
332.60,160.70,160.70,3
193.60,139.00,-21.70,3
129.80,63.80,-75.20,2
511.60,0.00,-63.80,1
466.20,45.30,45.30,1
262.70,203.50,158.20,3
150.50,112.20,-91.30,3
149.00,1.50,-110.70,1
70.50,78.50,77.00,3
411.50,0.00,-78.50,1
305.40,106.10,106.10,2
193.60,111.80,5.70,2
147.90,45.70,-66.10,2
104.30,43.60,-2.10,2
408.10,0.00,-43.60,1
342.90,65.20,65.20,1
266.50,76.40,11.20,1
204.70,61.80,-14.60,1
152.00,52.80,-9.00,2
106.10,45.90,-6.90,2
71.30,34.80,-11.10,3
309.00,0.00,-34.80,1
192.90,116.10,116.10,3
29.80,163.10,47.00,3
393.70,0.00,-163.10,1
188.10,205.50,205.50,3
144.10,44.00,-161.50,2
108.40,35.70,-8.30,2
403.60,0.00,-35.70,1
331.80,71.80,71.80,1
251.80,80.00,8.20,1
154.20,97.70,17.70,3
106.00,48.10,-49.50,2
66.60,39.50,-8.70,3
412.70,0.00,-39.50,1
121.80,290.90,290.90,3
73.80,47.90,-243.00,3
44.30,29.50,-18.40,3
513.30,0.00,-29.50,1
334.50,178.90,178.90,3
296.80,37.70,-141.20,1
238.70,58.20,20.50,1
186.70,52.00,-6.20,2
550.10,0.00,-52.00,1
395.70,154.50,154.50,3
336.20,59.50,-95.00,1
269.10,67.00,7.50,1
209.30,59.80,-7.20,1
157.80,51.50,-8.30,2
113.50,44.30,-7.10,2
77.60,35.90,-8.40,3
3.80,73.80,37.90,3
268.90,0.00,-73.80,1
130.20,138.70,138.70,3
93.10,37.10,-101.50,3
359.80,0.00,-37.10,1
279.10,80.70,80.70,1
128.50,150.60,69.90,3
98.60,29.90,-120.80,3
57.80,40.80,10.90,3
3.80,54.00,13.20,3
344.50,0.00,-54.00,1
295.90,48.70,48.70,1
252.30,43.60,-5.10,1
135.10,117.20,73.70,3
529.80,0.00,-117.20,1
502.90,27.00,27.00,1
459.20,43.70,16.70,1
412.50,46.60,2.90,1
364.60,48.00,1.30,1
336.00,28.60,-19.40,1
208.70,127.30,98.70,3
163.70,45.00,-82.30,2
126.60,37.10,-7.90,2
93.30,33.30,-3.70,3
22.70,70.50,37.20,3
27.60,-4.80,-75.40,3
225.40,0.00,4.80,1
110.60,114.90,114.90,3
98.60,11.90,-102.90,2
117.30,-18.60,-30.60,1
10.80,106.50,125.10,3
3.90,6.80,-99.70,3
510.00,0.00,-6.80,1
408.10,101.90,101.90,2
333.80,74.40,-27.50,1
230.60,103.20,28.80,2
104.70,125.90,22.70,3
74.50,30.20,-95.70,3
185.50,0.00,-30.20,2
163.10,22.40,22.40,2
102.80,60.30,38.00,2
65.70,37.10,-23.20,3
61.70,3.90,-33.20,2
426.60,0.00,-3.90,1
324.30,102.30,102.30,2
256.60,67.70,-34.60,1
150.00,106.60,38.90,3
164.10,-14.10,-120.70,1
141.60,22.50,36.60,2
53.90,87.70,65.20,3
138.70,-84.80,-172.50,1
72.20,66.50,151.30,3
51.30,20.90,-45.60,3
41.30,10.00,-10.90,3
4.90,36.50,26.50,3
436.80,0.00,-36.50,1
338.00,98.80,98.80,1
288.00,50.00,-48.80,1
146.20,141.80,91.80,3
117.20,29.00,-112.80,2
85.40,31.80,2.80,3
71.60,13.80,-18.00,3
469.40,0.00,-13.80,1
385.40,83.90,83.90,1
320.50,65.00,-19.00,1
256.00,64.50,-0.40,1
197.40,58.60,-5.90,2
140.70,56.70,-1.90,2
88.50,52.20,-4.50,3
52.00,36.50,-15.70,3
21.40,30.60,-5.90,3
39.80,-18.40,-49.00,3
495.30,0.00,18.40,1
431.40,63.90,63.90,1
341.30,90.10,26.20,1
225.80,115.50,25.40,3
143.80,82.00,-33.50,3
76.30,67.50,-14.50,3
51.30,25.13,-42.40,3
392.10,0.00,-25.10,1
340.80,51.30,51.30,1
289.70,51.10,-0.20,1
176.70,113.10,62.00,3
133.00,43.60,-69.50,1
71.40,61.60,18.00,3
53.60,17.90,-43.80,3
29.50,24.13,6.20,3
11.70,17.70,-6.40,3
3.80,8.00,-9.80,3
413.90,0.00,-8.00,1
106.20,307.70,307.70,3
41.90,64.30,-243.40,3
35.30,6.50,-57.80,3
418.00,0.00,-6.50,1
334.70,83.30,83.30,1
269.20,65.50,-17.80,1
145.40,123.80,58.30,3
105.20,40.20,-83.60,2
76.50,28.80,-11.40,3
387.20,0.00,-28.80,1
311.30,75.90,75.90,1
225.80,85.60,9.70,1
164.50,61.30,-24.30,2
108.20,56.30,-5.00,3
62.10,46.10,-10.10,3
